,compound,date,neg,neu,pos
342,-0.9862,2016-03-20,0.142,0.752,0.106
343,0.9972,2016-03-25,0.043,0.873,0.084
344,0.9524,2017-05-21,0.077,0.802,0.121
345,0.9618,2017-04-07,0.04,0.884,0.076
346,0.96425,2017-02-03,0.052500000000000005,0.8605,0.087
347,-0.7321,2016-08-25,0.049,0.915,0.036000000000000004
348,0.9661,2016-12-25,0.040999999999999995,0.8690000000000001,0.09
349,-0.705,2016-10-17,0.07400000000000001,0.861,0.066
350,0.9882,2016-02-23,0.065,0.821,0.114
351,0.9705,2017-07-03,0.05466666666666667,0.8380000000000001,0.10733333333333334
352,0.8820250000000001,2017-03-03,0.055249999999999994,0.84875,0.0965
353,0.87505,2017-05-09,0.032,0.8985000000000001,0.0695
354,0.88005,2017-04-27,0.0645,0.8545,0.081
355,-0.491425,2016-06-26,0.0835,0.857,0.059750000000000004
356,0.8806,2016-06-18,0.07200000000000001,0.836,0.092
357,0.6981666666666667,2017-05-18,0.053,0.8713333333333333,0.07566666666666667
358,0.9914,2016-07-17,0.054000000000000006,0.868,0.078
359,0.97375,2016-07-10,0.072,0.8049999999999999,0.123
360,0.015249999999999986,2017-04-11,0.0635,0.8654999999999999,0.07150000000000001
361,0.9229,2017-04-08,0.027000000000000003,0.909,0.064
362,0.40055,2017-06-12,0.046,0.8735,0.08
363,0.9897666666666667,2016-11-21,0.042333333333333334,0.8529999999999999,0.10466666666666669
364,0.9691,2017-04-19,0.06,0.8490000000000001,0.091
365,-0.28763333333333335,2017-05-16,0.06366666666666666,0.8756666666666667,0.06066666666666667
366,0.32170000000000004,2016-12-13,0.06433333333333334,0.8573333333333334,0.07833333333333332
367,0.571425,2016-12-05,0.06375,0.85425,0.08225
368,0.988,2017-01-04,0.048,0.851,0.10099999999999999
369,0.9709,2017-06-02,0.07400000000000001,0.817,0.1085
370,0.9964,2017-06-24,0.052000000000000005,0.8190000000000001,0.129
371,0.9981,2016-10-18,0.040999999999999995,0.8440000000000001,0.114
